,Age,County,Female,Male,Male_Inverse,Male_inverse,OBJECTID,shape
70,70,Busia,1491,926,-926.0,,70,81
71,71,Busia,663,600,-600.0,,71,81
72,72,Busia,646,554,-554.0,,72,81
73,73,Busia,584,618,-618.0,,73,81
74,74,Busia,655,503,-503.0,,74,81
75,75,Busia,715,528,-528.0,,75,81
76,76,Busia,581,517,-517.0,,76,81
77,77,Busia,626,582,-582.0,,77,81
78,78,Busia,429,355,-355.0,,78,81
79,79,Busia,752,445,-445.0,,79,81
80,80+,Busia,3579,2764,-2764.0,,80,81
0,0,Bungoma,25199,25659,-25659.0,,0,81
1,1,Bungoma,23266,23482,-23482.0,,1,81
2,2,Bungoma,25729,25797,-25797.0,,2,81
3,3,Bungoma,25725,25500,-25500.0,,3,81
4,4,Bungoma,24027,24317,-24317.0,,4,81
5,5,Bungoma,24646,24832,-24832.0,,5,81
6,6,Bungoma,23343,22996,-22996.0,,6,81
7,7,Bungoma,22205,22080,-22080.0,,7,81
8,8,Bungoma,21455,20979,-20979.0,,8,81
9,9,Bungoma,21804,21825,-21825.0,,9,81
10,10,Bungoma,21315,21604,-21604.0,,10,81
11,11,Bungoma,17807,17776,-17776.0,,11,81
12,12,Bungoma,19849,19831,-19831.0,,12,81
13,13,Bungoma,18953,18983,-18983.0,,13,81
14,14,Bungoma,17106,17165,-17165.0,,14,81
15,15,Bungoma,17099,16915,-16915.0,,15,81
16,16,Bungoma,15646,15663,-15663.0,,16,81
17,17,Bungoma,16652,17164,-17164.0,,17,81
18,18,Bungoma,14849,15070,-15070.0,,18,81
19,19,Bungoma,14294,14134,-14134.0,,19,81
20,20,Bungoma,15452,13438,-13438.0,,20,81
21,21,Bungoma,12885,11776,-11776.0,,21,81
22,22,Bungoma,13924,11768,-11768.0,,22,81
23,23,Bungoma,12652,10966,-10966.0,,23,81
24,24,Bungoma,11254,9721,-9721.0,,24,81
25,25,Bungoma,12649,10863,-10863.0,,25,81
26,26,Bungoma,9834,8505,-8505.0,,26,81
27,27,Bungoma,9862,8864,-8864.0,,27,81
28,28,Bungoma,8481,7144,-7144.0,,28,81
